inn,name,revenue,revenue_year,okved_main,employees,site,region,contacts,description,source,segment_tag,rating_ref
7730213191,ПРОМОМАРКЕТ,622.833254616221,2023,73.11,207.0,https://промомаркет.ru,Санкт-Петербург,тел: +7 (333) 931-13-65,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
7710479230,ЭВЕРЕСТ BTL,820.0747460408891,2023,73.11,170.0,https://эверест.ru,Екатеринбург,тел: +7 (433) 843-10-21,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
7704220610,БРЕНДКОМ BTL,1863.6770475828635,2023,73.11,258.0,https://брендком.ru,Санкт-Петербург,тел: +7 (816) 940-63-75,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
7713812345,ИВЕНТ КРЕАТИВ ГРУПП,1173.1706836158805,2023,73.11,288.0,https://ивенткреативгрупп.ru,Новосибирск,тел: +7 (832) 692-34-49,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
7714708230,ИМПУЛЬС МАРКЕТИНГ,1339.2054879977006,2023,73.11,249.0,https://импульсмаркетинг.ru,Екатеринбург,тел: +7 (940) 766-60-24,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
7702301360,КРЕАТИВ ПРОМО,335.7163964861133,2023,73.11,164.0,https://креативпромо.ru,Санкт-Петербург,тел: +7 (797) 875-35-15,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
7713750230,СОБЫТИЕ ПЛЮС BTL,1578.2280211160892,2023,73.11,196.0,https://событиеплюс.ru,Новосибирск,тел: +7 (192) 186-34-29,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
7710809230,АРТ ПРОМОШОУ,755.7205082304441,2023,73.11,27.0,https://артпромошоу.ru,Екатеринбург,тел: +7 (895) 864-46-69,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
7708801234,ПРОМО СТАНДАРТ,559.6536635466985,2023,73.11,66.0,https://промостандарт.ru,Екатеринбург,тел: +7 (759) 870-23-11,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
7711805678,БИЗНЕС ИВЕНТ,1436.9243783927402,2023,73.11,41.0,https://бизнесивент.ru,Новосибирск,тел: +7 (927) 358-86-98,"Комплексное BTL-агентство полного цикла. Услуги: промо-акции, ивенты, мерчендайзинг, бренд-активация.",realistic_mock_data,"BTL,EVENT",static_test_list_with_inn
